Scheme           mu   n  i VM             |     Commit       Open     Prover |     Verify      Proof       Comm     CV |             Time
dDory-PCS        15   8  5 e2-highmem-4   |    296.3ms    667.9ms    964.2ms |     47.3ms    23.73KB   145.07KB     1% | 2026-02-02 00:48
dDory-PCS        16   8  5 e2-highmem-4   |    382.7ms      1.09s      1.47s |     50.5ms    26.26KB   166.77KB     8% | 2026-02-02 00:52
dDory-PCS        17   8  5 e2-highmem-4   |    761.5ms      1.20s      1.96s |     50.5ms    26.26KB   167.21KB   12%~ | 2026-02-02 01:08
dDory-PCS        18   8  5 e2-highmem-4   |    943.9ms      2.04s      2.98s |     53.6ms    28.79KB   188.91KB   11%~ | 2026-02-02 01:23
dDory-PCS        12  16 10 e2-highmem-2   |     29.9ms    273.9ms    303.8ms |     36.1ms    21.20KB   216.30KB     3% | 2026-02-01 05:08
dDory-PCS        13  16 10 e2-highmem-2   |     41.2ms    376.1ms    417.3ms |     36.5ms    23.73KB   262.79KB     2% | 2026-02-01 05:09
dDory-PCS        14  16 10 e2-highmem-2   |     79.3ms    412.9ms    492.2ms |     37.6ms    23.73KB   263.72KB     4% | 2026-02-01 05:10
dDory-PCS        15  16 10 e2-highmem-2   |    105.3ms    612.8ms    718.0ms |     40.7ms    26.26KB   310.21KB     3% | 2026-02-01 05:12
dDory-PCS        16  16 10 e2-highmem-2   |    187.9ms    672.1ms    860.0ms |     39.9ms    26.26KB   311.14KB     5% | 2026-02-01 05:17
dDory-PCS        17  16 10 e2-highmem-2   |    288.4ms      1.07s      1.36s |     42.0ms    28.79KB   357.63KB     5% | 2026-02-01 05:24
dDory-PCS        18  16 10 e2-highmem-2   |    574.1ms      1.18s      1.76s |     42.5ms    28.79KB   358.56KB     7% | 2026-02-01 05:40
dDory-PCS        27  16  1 fitted         |    275.67s     24.71s    300.37s |          -          -          -      - | 2026-02-01 06:20
dDory-PCS        28  16  1 fitted         |    551.30s     34.87s    586.17s |          -          -          -      - | 2026-02-01 06:20
dDory-PCS        29  16  1 fitted         |   1102.56s     49.24s   1151.80s |          -          -          -      - | 2026-02-01 06:20
dDory-PCS        30  16  1 fitted         |   2205.10s     69.56s   2274.66s |          -          -          -      - | 2026-02-01 06:20
dFRIttata-PCS    20   2 10 e2-highmem-8   |      1.23s      7.7ms      1.23s |     21.3ms     1.25MB    16.32MB     2% | 2026-02-02 23:28
dFRIttata-PCS    21   2 10 e2-highmem-8   |      2.47s      8.4ms      2.48s |     23.1ms     1.40MB    32.35MB     1% | 2026-02-02 23:29
dFRIttata-PCS    22   2 10 e2-highmem-8   |      5.04s      9.5ms      5.05s |     25.7ms     1.55MB    64.37MB     2% | 2026-02-02 23:31
dFRIttata-PCS    23   2 10 e2-highmem-8   |     10.17s     10.6ms     10.18s |     27.7ms     1.73MB   128.40MB     1% | 2026-02-02 23:34
