Scheme           mu   n  i VM             |     Commit       Open     Prover |     Verify      Proof       Comm     CV |             Time
dSumcheck3       30  16  5 e2-highmem-2   |          -          -     38.75s |      0.0ms     2.59KB    41.56KB     5% | 2026-02-01 06:53
dSumcheck4       26   4 10 e2-highmem-4   |          -          -     14.68s |      0.0ms     2.66KB     9.04KB     8% | 2026-02-02 15:11
dSumcheck4       28   4 10 e2-highmem-4   |          -          -     61.90s |      0.0ms     2.86KB     9.77KB   18%~ | 2026-02-02 15:27
dSumcheck4       29   4 10 e2-highmem-4   |          -          -    117.16s |      0.0ms     2.96KB    10.13KB     6% | 2026-02-02 15:48
dSumcheck4       26   8 10 e2-highmem-4   |          -          -      7.03s |      0.0ms     2.66KB    19.95KB     3% | 2026-02-02 04:28
dSumcheck4       27   8 10 e2-highmem-4   |          -          -     14.67s |      0.0ms     2.76KB    20.79KB    10% | 2026-02-02 04:31
dSumcheck4       28   8 10 e2-highmem-4   |          -          -     32.81s |      0.0ms     2.86KB    21.63KB   28%~ | 2026-02-02 04:38
dSumcheck4       29   8 10 e2-highmem-4   |          -          -     56.13s |      0.0ms     2.96KB    22.47KB     1% | 2026-02-02 04:48
dSumcheck4       30   8 10 e2-highmem-4   |          -          -    117.38s |      0.0ms     3.06KB    23.32KB   10%~ | 2026-02-02 05:09
dSumcheck4       26  16  5 e2-standard-2  |          -          -      3.54s |      0.0ms     2.66KB    40.71KB     1% | 2026-01-29 08:22
dSumcheck4       27  16  5 e2-standard-2  |          -          -      7.04s |      0.0ms     2.76KB    42.50KB     1% | 2026-01-29 08:23
dSumcheck4       28  16  5 e2-highmem-2   |          -          -     14.16s |      0.0ms     2.86KB    44.30KB     1% | 2026-02-01 06:56
dSumcheck4       29  16  5 e2-standard-2  |          -          -     28.18s |      0.0ms     2.96KB    46.09KB     1% | 2026-01-29 08:27
dSumcheck4       30  16  5 e2-standard-2  |          -          -     58.40s |      0.0ms     3.06KB    47.89KB     5% | 2026-01-29 08:32
